Sentence,Tag
"Jyotiraditya Scindia is like ""Rassi jal gayee aunty ki bal nahi gaya""pic.twitter.com/RP1sQpr90l",1
Ishant Sharma ko bahut late utaara.,1
.@twinitisha neeche plug nikla hua hai..,0
Aaj agar India final me hota to kam se kam New Zealand se to accha hi khelta.,0
"3 stages of life of Mechanical Engineer:

1) Janam 

2) ""Abe wo dekh IT wali ko.. Kya maal hai behen ki lodi""

3) Maut",1
Bhai @Atheist_Krishna DP me kutta kaun sa hai pata hi nahi chal raha ,1
Lagta hai @Trendulkar kisi pakistani se mila hai.. Waise bhi woh log isse khaar khaye baithe hai.. kisi din koi uda na de.. LOLMAX,0
"Mujhe need na aaye 
Mujhe chain na aaye 
Lagta hai insomnia hogaya",1
"Haan..Arnab ko danda mil gaya.. usne peeche le bhi liya #ShameOnTimesNow 

RT @BeingSalmanKhan Mila kya....... ?",1
"Neem ka patta kadwa hai
_______ sabse bada bhadwa hai",0
"Waise bhi bhai tu ghar se parade ke liye nikalta..phir u-turn le leta..

RT @timesofindia: Why no invite for R-Day parade, Kejriwal wonders",0
Holi kab hai ?? Kab hai Holi ?? #HolyShitpic.twitter.com/yn3ubLPJ2F,0
"""Hi dad, I am gay and I love Anwar""

Dad: ""Nalayak, society main naak katayega ek Muslim se pyaar karke""",1
"""Beta 45 ka ho gaya aaj tu.. Ab Chote Bheem ko chhod aur choti bahu ko ghar le aa.."" #VishwaPappuDiwaspic.twitter.com/UUAfvBBaxX",0
"Baate kare hazaar.. Majdhaar me Bihar

#NitishLaluSting",0
Sir @narendramodi pls mat jao Pakistan.. Ek no ka madarchod desh hai.. Kuch bhi ho sakta hai waha.. Dont risk ur life..,0
Bhai @ek_samosa_dena & @Dishasatra tumlog dikh gaye audience mein! Aaj ki raat hai zindagi!,1
"Shareer ko chahiye minerals
Twacha ko chahiye haldi
Baalon ko chahiye badaam
Ullu bana ne ke liye chahiye advertisements",1
Bas kar pagli @Insane_chorri ab rulaegi kya,0
"Holi ke din dil khil jaate hai, bangladesh ke lun lag jaate hai #IndvsBan",1
Mujhe lag raha hai ye match ham log haar sakte hain.,1
Kya yeh Whatsapp forward ban sakta hai?pic.twitter.com/Z9HWg826NY,0
North Korea ke Kim Jong Un #KejriwalDiwas manate huepic.twitter.com/qLQJjraoPV,1
Isko to bohot bura lag raha hogapic.twitter.com/OTjn51d1ff,0
"Tumhara Kutta
Tumhari Billi
Tumhara Nephew
Tumhara Soft Toy

Sab aww so cute ahi behen, bas hamein na dikhao.",0
