Sentence,Tag
"MashaAllah, jo log meri Black display peh chorh k chalay gaye thy, wo wapis arahay ab?  #Irony #FollowUnfollow",1
"Sanjeev, Suchitra Sen, and Gulzar.  #SanjeevKumar #Gulzar #GulzarSaab #suchitra #HappyBirthday #Legend #Friends #Bollywood pic.twitter.com/yN4uPkl53A",0
Politics to harami hai par tu sabse bada haramzaada hai .modi se anne se pehle tu desh bhakt tha ab tu jihadi hai.laanat hai .,0
aaj cricket khiladi neelam honge... khair khiladi to khel ko hi neelam krne lage gain...fir khud neelam hona kaun so badi baat hair.,0
"#PAKvWXI  Hamay cricket fever mai Etna mast Nahi hona chahiay k mazloom #rohingya ki nasal kashi bhool jaye..""meri masti mai shaoor hai """,0
Jadeja bhi bhakt hai kya aaj pata chala beta janta ka bhakt bano nahi to kairiyar ghus jayegi cricketar ho cricket khelo rajnitik me na aao,0
kya bhai sahi me ram rahim ne aap ko cricket sikhaya hai????,0
Chalo thik hai koi kuch karnewala nahi hai bas aisehi chalte rahega a politics bas public ko pareshaan karte hai,0
@SONI_CRICKET: Phoolon ki Mehak kuch Din bad khatam ho jati hai          ? Magar  Achy Salook ki Mehak Insaan ki Moat ky baad bhi Qaim Re...,0
Abey ye Bollywood mein hai to Hindu dharm ko criticize karna hi iska dharm ban chuka hai ab. Kise samjha rha hai.,0
@bhogleharsha  In 2015. Shikhar Dhawan?? #SLvIND #AskTheExpert @SPN_Cricket,0
ajab prem ki ghazab kahani #Bollywood #RadioCity #Ahmedabad #Film #Movie,0
"Triple Talaq sey fursat mil gayi ho to, kutch progress bhi dhyan de diya jaye Sarkar or media gan.  Ekdum Rayta phaila diya hai..",0
"@najamsethi international cricket mangi ap la rahay hain, lekin kuch imran khan aur is ke besharam aur jealous logo se yee bardasht nahihota",0
modi ji kuch to kahte he desh ke liye Aap to sirf politics ke bare me hi bolte ho .saram karo yar common men ka istemal mat karo,0
Cricket News: Hashim Amla Ne Shaandaar Batting Ki. Thisara Perera Ki Innings Bhi Achi Rahi. Sarfaraz Ahmed,0
Gutkha khane waale baba siddhanton ki baat karte hain #irony @yadavtejashwi #LaluPrasadYadav #Lalu,1
#ViruPanti  TV par Sony aur  Cricket me dhoni kabhi rukte nahin,0
Jis ko kabhi shida tally kha tha us ko aaj khiraje tehseen pesh kion kia politics mein koi baat akhri nahi hoti.,0
Kar lo sir politics kar lo aap.Aaraam se time le kar poori politics keejiye sir.desh kisi aur janm mein bana lenge.abhi politics karte hain,0
"akhilesh bhaiya mujhe politics m aana hai so please mujhe apka aasheerbad chahiye and kuch jankari bhi, please call me, 09456965792",0
"Ek bar Triple talaq huva to,vo allah ki nazar me talaq hojaye ga. Agar vus triple talaq ko na maan ke phir se vo biwi aur shohar milke rah -",0
"Dekho Pakistaniyo, madrasso mein jaao, allahu akbar bolo, bakriyo ke saath so jaao. Ye global politics tumhare bas ke baahar hai.",0
School ke bacche baarish me bheeg rahe aur kutte ko raincoat pehen kar ghumaya jaa raha tha. #irony #TrueSceneAtKandivali #AamAadmiVsSarkar,1
Koi apno ke liye jina chhod deta he.......toh koi jine ke liye apno ko chhod deta he........ #irony #life,1
"Triple talaq par bolnewale, ye Aurat ke saath sulukh karte ho.",0
Sir agar aap Bollywood me Safal ho Gaye hote toh shayad Bharatdesh roz 5 se 6 #taalthokke superhits naa dekhne Ko milte @sardanarohit,0
Gambhir #beethiOnFace #Irony,0
Kids: Taarak bhai Taarak bhai bachche khelte hai cricket. Adults: Taarak bhai Taarak bhai bachche dekhte hai games of thrones.,0
#TripleTalaq Triple talaq ko insaano ki jaagir nahi jo isse khatam kar de jisne insaan banaya uska ye kanoon he jo sabke fayede ke lye he,0
Akhilesh ka present dekhlo ye kharab politics ka hi nateeja hai  Bechare unemployed ghoom rahe hn,0
"Prabhas ka FAN pagal ho beya Bollywood ke Baadshah, king khan ke sath bhikhari ko compare kar raha hain",0
kewal politics ho rahi hai Manyawar aur aap bhi ????,0
"#KPL2017 #BB 11 by Kc #FantasyCricket  Vishwanathan, Samarth, Bhavane, Deshpande, RBhatkal,, MReddy, ABhat, MYadav, Krishna, Koushik, Kader.",0
I thought phir shaid divorce e ho Jay.because nawaz power politics men khud sy bar tar ko bardasht nai karta.kalsoom ki b apni soch ho sakti,0
